OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	54
0.85356	1.20712	55
1.20712	1.50441	54
1.50441	1.80171	55
1.80171	2.0517	54
2.0517	2.3017	55
2.3017	2.51192	54
2.51192	2.72214	55
2.72214	2.89891	54
2.89891	3.07568	55
3.07568	3.22433	54
3.22433	3.37297	55
3.37297	3.49798	54
3.49798	3.62298	55
3.62298	3.7281	54
3.7281	3.83321	55
3.83321	3.92161	54
3.92161	4.01	55
4.01	4.08432	54
4.08432	4.15865	55
4.15865	4.22114	54
4.22114	4.28364	55
4.28364	4.3362	54
4.3362	4.38875	55
4.38875	4.43294	54
4.43294	4.47713	55
4.47713	4.51429	54
4.51429	4.55146	55
4.55146	4.5827	54
4.5827	4.61395	55
