OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	33
0.85356	1.20712	34
1.20712	1.50441	33
1.50441	1.80171	34
1.80171	2.0517	33
2.0517	2.3017	34
2.3017	2.51192	33
2.51192	2.72214	34
2.72214	2.89891	33
2.89891	3.07568	34
3.07568	3.22433	33
3.22433	3.37297	34
3.37297	3.49798	33
3.49798	3.62298	34
3.62298	3.7281	33
3.7281	3.83321	34
3.83321	3.92161	33
3.92161	4.01	34
4.01	4.08432	33
4.08432	4.15865	34
4.15865	4.22114	33
4.22114	4.28364	34
4.28364	4.3362	33
4.3362	4.38875	34
4.38875	4.43294	33
4.43294	4.47713	34
4.47713	4.51429	33
4.51429	4.55146	34
4.55146	4.5827	33
4.5827	4.61395	34
