OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	47
0.85356	1.20712	48
1.20712	1.50441	47
1.50441	1.80171	48
1.80171	2.0517	47
2.0517	2.3017	48
2.3017	2.51192	47
2.51192	2.72214	48
2.72214	2.89891	47
2.89891	3.07568	48
3.07568	3.22433	47
3.22433	3.37297	48
3.37297	3.49798	47
3.49798	3.62298	48
3.62298	3.7281	47
3.7281	3.83321	48
3.83321	3.92161	47
3.92161	4.01	48
4.01	4.08432	47
4.08432	4.15865	48
4.15865	4.22114	47
4.22114	4.28364	48
4.28364	4.3362	47
4.3362	4.38875	48
4.38875	4.43294	47
4.43294	4.47713	48
4.47713	4.51429	47
4.51429	4.55146	48
4.55146	4.5827	47
4.5827	4.61395	48
