OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	48
1.05356	1.70441	49
1.40711	2.00171	48
1.70441	2.2517	49
2.00171	2.5017	48
2.2517	2.71192	49
2.5017	2.92213	48
2.71192	3.09891	49
2.92213	3.27568	48
3.09891	3.42432	49
3.27568	3.57297	48
3.42432	3.69798	49
3.57297	3.82298	48
3.69798	3.9281	49
3.82298	4.03321	48
3.9281	4.12161	49
4.03321	4.21	48
4.12161	4.28432	49
4.21	4.35865	48
4.28432	4.42114	49
4.35865	4.48364	48
4.42114	4.5362	49
4.48364	4.58875	48
4.5362	4.63294	49
4.58875	4.67713	48
4.63294	4.71429	49
4.67713	4.75146	48
4.71429	4.7827	49
4.75146	5.01395	48
4.7827	5.01395	49
