OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	66
0.85356	1.20712	67
1.20712	1.50441	66
1.50441	1.80171	67
1.80171	2.0517	66
2.0517	2.3017	67
2.3017	2.51192	66
2.51192	2.72214	67
2.72214	2.89891	66
2.89891	3.07568	67
3.07568	3.22433	66
3.22433	3.37297	67
3.37297	3.49798	66
3.49798	3.62298	67
3.62298	3.7281	66
3.7281	3.83321	67
3.83321	3.92161	66
3.92161	4.01	67
4.01	4.08432	66
4.08432	4.15865	67
4.15865	4.22114	66
4.22114	4.28364	67
4.28364	4.3362	66
4.3362	4.38875	67
4.38875	4.43294	66
4.43294	4.47713	67
4.47713	4.51429	66
4.51429	4.55146	67
4.55146	4.5827	66
4.5827	4.61395	67
