OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	41
0.85356	1.20712	42
1.20712	1.50441	41
1.50441	1.80171	42
1.80171	2.0517	41
2.0517	2.3017	42
2.3017	2.51192	41
2.51192	2.72214	42
2.72214	2.89891	41
2.89891	3.07568	42
3.07568	3.22433	41
3.22433	3.37297	42
3.37297	3.49798	41
3.49798	3.62298	42
3.62298	3.7281	41
3.7281	3.83321	42
3.83321	3.92161	41
3.92161	4.01	42
4.01	4.08432	41
4.08432	4.15865	42
4.15865	4.22114	41
4.22114	4.28364	42
4.28364	4.3362	41
4.3362	4.38875	42
4.38875	4.43294	41
4.43294	4.47713	42
4.47713	4.51429	41
4.51429	4.55146	42
4.55146	4.5827	41
4.5827	4.61395	42
