OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	92
1.05356	1.70441	93
1.40711	2.00171	92
1.70441	2.2517	93
2.00171	2.5017	92
2.2517	2.71192	93
2.5017	2.92213	92
2.71192	3.09891	93
2.92213	3.27568	92
3.09891	3.42432	93
3.27568	3.57297	92
3.42432	3.69798	93
3.57297	3.82298	92
3.69798	3.9281	93
3.82298	4.03321	92
3.9281	4.12161	93
4.03321	4.21	92
4.12161	4.28432	93
4.21	4.35865	92
4.28432	4.42114	93
4.35865	4.48364	92
4.42114	4.5362	93
4.48364	4.58875	92
4.5362	4.63294	93
4.58875	4.67713	92
4.63294	4.71429	93
4.67713	4.75146	92
4.71429	4.7827	93
4.75146	5.01395	92
4.7827	5.01395	93
