OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	90
0.85356	1.20712	91
1.20712	1.50441	90
1.50441	1.80171	91
1.80171	2.0517	90
2.0517	2.3017	91
2.3017	2.51192	90
2.51192	2.72214	91
2.72214	2.89891	90
2.89891	3.07568	91
3.07568	3.22433	90
3.22433	3.37297	91
3.37297	3.49798	90
3.49798	3.62298	91
3.62298	3.7281	90
3.7281	3.83321	91
3.83321	3.92161	90
3.92161	4.01	91
4.01	4.08432	90
4.08432	4.15865	91
4.15865	4.22114	90
4.22114	4.28364	91
4.28364	4.3362	90
4.3362	4.38875	91
4.38875	4.43294	90
4.43294	4.47713	91
4.47713	4.51429	90
4.51429	4.55146	91
4.55146	4.5827	90
4.5827	4.61395	91
