OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	44
1.05356	1.70441	45
1.40711	2.00171	44
1.70441	2.2517	45
2.00171	2.5017	44
2.2517	2.71192	45
2.5017	2.92213	44
2.71192	3.09891	45
2.92213	3.27568	44
3.09891	3.42432	45
3.27568	3.57297	44
3.42432	3.69798	45
3.57297	3.82298	44
3.69798	3.9281	45
3.82298	4.03321	44
3.9281	4.12161	45
4.03321	4.21	44
4.12161	4.28432	45
4.21	4.35865	44
4.28432	4.42114	45
4.35865	4.48364	44
4.42114	4.5362	45
4.48364	4.58875	44
4.5362	4.63294	45
4.58875	4.67713	44
4.63294	4.71429	45
4.67713	4.75146	44
4.71429	4.7827	45
4.75146	5.01395	44
4.7827	5.01395	45
