OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	53
0.85356	1.20712	54
1.20712	1.50441	53
1.50441	1.80171	54
1.80171	2.0517	53
2.0517	2.3017	54
2.3017	2.51192	53
2.51192	2.72214	54
2.72214	2.89891	53
2.89891	3.07568	54
3.07568	3.22433	53
3.22433	3.37297	54
3.37297	3.49798	53
3.49798	3.62298	54
3.62298	3.7281	53
3.7281	3.83321	54
3.83321	3.92161	53
3.92161	4.01	54
4.01	4.08432	53
4.08432	4.15865	54
4.15865	4.22114	53
4.22114	4.28364	54
4.28364	4.3362	53
4.3362	4.38875	54
4.38875	4.43294	53
4.43294	4.47713	54
4.47713	4.51429	53
4.51429	4.55146	54
4.55146	4.5827	53
4.5827	4.61395	54
