OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	26
1.05356	1.70441	27
1.40711	2.00171	26
1.70441	2.2517	27
2.00171	2.5017	26
2.2517	2.71192	27
2.5017	2.92213	26
2.71192	3.09891	27
2.92213	3.27568	26
3.09891	3.42432	27
3.27568	3.57297	26
3.42432	3.69798	27
3.57297	3.82298	26
3.69798	3.9281	27
3.82298	4.03321	26
3.9281	4.12161	27
4.03321	4.21	26
4.12161	4.28432	27
4.21	4.35865	26
4.28432	4.42114	27
4.35865	4.48364	26
4.42114	4.5362	27
4.48364	4.58875	26
4.5362	4.63294	27
4.58875	4.67713	26
4.63294	4.71429	27
4.67713	4.75146	26
4.71429	4.7827	27
4.75146	5.01395	26
4.7827	5.01395	27
