OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	59
0.85356	1.20712	60
1.20712	1.50441	59
1.50441	1.80171	60
1.80171	2.0517	59
2.0517	2.3017	60
2.3017	2.51192	59
2.51192	2.72214	60
2.72214	2.89891	59
2.89891	3.07568	60
3.07568	3.22433	59
3.22433	3.37297	60
3.37297	3.49798	59
3.49798	3.62298	60
3.62298	3.7281	59
3.7281	3.83321	60
3.83321	3.92161	59
3.92161	4.01	60
4.01	4.08432	59
4.08432	4.15865	60
4.15865	4.22114	59
4.22114	4.28364	60
4.28364	4.3362	59
4.3362	4.38875	60
4.38875	4.43294	59
4.43294	4.47713	60
4.47713	4.51429	59
4.51429	4.55146	60
4.55146	4.5827	59
4.5827	4.61395	60
