OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	96
1.05356	1.70441	97
1.40711	2.00171	96
1.70441	2.2517	97
2.00171	2.5017	96
2.2517	2.71192	97
2.5017	2.92213	96
2.71192	3.09891	97
2.92213	3.27568	96
3.09891	3.42432	97
3.27568	3.57297	96
3.42432	3.69798	97
3.57297	3.82298	96
3.69798	3.9281	97
3.82298	4.03321	96
3.9281	4.12161	97
4.03321	4.21	96
4.12161	4.28432	97
4.21	4.35865	96
4.28432	4.42114	97
4.35865	4.48364	96
4.42114	4.5362	97
4.48364	4.58875	96
4.5362	4.63294	97
4.58875	4.67713	96
4.63294	4.71429	97
4.67713	4.75146	96
4.71429	4.7827	97
4.75146	5.01395	96
4.7827	5.01395	97
