OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	21
0.85356	1.20712	22
1.20712	1.50441	21
1.50441	1.80171	22
1.80171	2.0517	21
2.0517	2.3017	22
2.3017	2.51192	21
2.51192	2.72214	22
2.72214	2.89891	21
2.89891	3.07568	22
3.07568	3.22433	21
3.22433	3.37297	22
3.37297	3.49798	21
3.49798	3.62298	22
3.62298	3.7281	21
3.7281	3.83321	22
3.83321	3.92161	21
3.92161	4.01	22
4.01	4.08432	21
4.08432	4.15865	22
4.15865	4.22114	21
4.22114	4.28364	22
4.28364	4.3362	21
4.3362	4.38875	22
4.38875	4.43294	21
4.43294	4.47713	22
4.47713	4.51429	21
4.51429	4.55146	22
4.55146	4.5827	21
4.5827	4.61395	22
