OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	106
0.85356	1.20712	108
1.20712	1.50441	106
1.50441	1.80171	108
1.80171	2.0517	106
2.0517	2.3017	108
2.3017	2.51192	106
2.51192	2.72214	108
2.72214	2.89891	106
2.89891	3.07568	108
3.07568	3.22433	106
3.22433	3.37297	108
3.37297	3.49798	106
3.49798	3.62298	108
3.62298	3.7281	106
3.7281	3.83321	108
3.83321	3.92161	106
3.92161	4.01	108
4.01	4.08432	106
4.08432	4.15865	108
4.15865	4.22114	106
4.22114	4.28364	108
4.28364	4.3362	106
4.3362	4.38875	108
4.38875	4.43294	106
4.43294	4.47713	108
4.47713	4.51429	106
4.51429	4.55146	108
4.55146	4.5827	106
4.5827	4.61395	108
