OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	57
1.05356	1.70441	59
1.40711	2.00171	57
1.70441	2.2517	59
2.00171	2.5017	57
2.2517	2.71192	59
2.5017	2.92213	57
2.71192	3.09891	59
2.92213	3.27568	57
3.09891	3.42432	59
3.27568	3.57297	57
3.42432	3.69798	59
3.57297	3.82298	57
3.69798	3.9281	59
3.82298	4.03321	57
3.9281	4.12161	59
4.03321	4.21	57
4.12161	4.28432	59
4.21	4.35865	57
4.28432	4.42114	59
4.35865	4.48364	57
4.42114	4.5362	59
4.48364	4.58875	57
4.5362	4.63294	59
4.58875	4.67713	57
4.63294	4.71429	59
4.67713	4.75146	57
4.71429	4.7827	59
4.75146	5.01395	57
4.7827	5.01395	59
