OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	105
0.85356	1.20712	107
1.20712	1.50441	105
1.50441	1.80171	107
1.80171	2.0517	105
2.0517	2.3017	107
2.3017	2.51192	105
2.51192	2.72214	107
2.72214	2.89891	105
2.89891	3.07568	107
3.07568	3.22433	105
3.22433	3.37297	107
3.37297	3.49798	105
3.49798	3.62298	107
3.62298	3.7281	105
3.7281	3.83321	107
3.83321	3.92161	105
3.92161	4.01	107
4.01	4.08432	105
4.08432	4.15865	107
4.15865	4.22114	105
4.22114	4.28364	107
4.28364	4.3362	105
4.3362	4.38875	107
4.38875	4.43294	105
4.43294	4.47713	107
4.47713	4.51429	105
4.51429	4.55146	107
4.55146	4.5827	105
4.5827	4.61395	107
