OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	83
1.05356	1.70441	85
1.40711	2.00171	83
1.70441	2.2517	85
2.00171	2.5017	83
2.2517	2.71192	85
2.5017	2.92213	83
2.71192	3.09891	85
2.92213	3.27568	83
3.09891	3.42432	85
3.27568	3.57297	83
3.42432	3.69798	85
3.57297	3.82298	83
3.69798	3.9281	85
3.82298	4.03321	83
3.9281	4.12161	85
4.03321	4.21	83
4.12161	4.28432	85
4.21	4.35865	83
4.28432	4.42114	85
4.35865	4.48364	83
4.42114	4.5362	85
4.48364	4.58875	83
4.5362	4.63294	85
4.58875	4.67713	83
4.63294	4.71429	85
4.67713	4.75146	83
4.71429	4.7827	85
4.75146	5.01395	83
4.7827	5.01395	85
