OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	103
0.85356	1.20712	105
1.20712	1.50441	103
1.50441	1.80171	105
1.80171	2.0517	103
2.0517	2.3017	105
2.3017	2.51192	103
2.51192	2.72214	105
2.72214	2.89891	103
2.89891	3.07568	105
3.07568	3.22433	103
3.22433	3.37297	105
3.37297	3.49798	103
3.49798	3.62298	105
3.62298	3.7281	103
3.7281	3.83321	105
3.83321	3.92161	103
3.92161	4.01	105
4.01	4.08432	103
4.08432	4.15865	105
4.15865	4.22114	103
4.22114	4.28364	105
4.28364	4.3362	103
4.3362	4.38875	105
4.38875	4.43294	103
4.43294	4.47713	105
4.47713	4.51429	103
4.51429	4.55146	105
4.55146	4.5827	103
4.5827	4.61395	105
