OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	56
1.05356	1.70441	58
1.40711	2.00171	56
1.70441	2.2517	58
2.00171	2.5017	56
2.2517	2.71192	58
2.5017	2.92213	56
2.71192	3.09891	58
2.92213	3.27568	56
3.09891	3.42432	58
3.27568	3.57297	56
3.42432	3.69798	58
3.57297	3.82298	56
3.69798	3.9281	58
3.82298	4.03321	56
3.9281	4.12161	58
4.03321	4.21	56
4.12161	4.28432	58
4.21	4.35865	56
4.28432	4.42114	58
4.35865	4.48364	56
4.42114	4.5362	58
4.48364	4.58875	56
4.5362	4.63294	58
4.58875	4.67713	56
4.63294	4.71429	58
4.67713	4.75146	56
4.71429	4.7827	58
4.75146	5.01395	56
4.7827	5.01395	58
